Title,director (s),Country,Language (s),Earning,Rating,Overview,Total rewies
Ambulance, Michael Bay,United States,"English , Spanish","$51,309,115",6.1,Two robbers steal an ambulance after their heist goes awry.,66046
Amsterdam, David O. Russell,Japan ,English,"$21,969,464",6.2,"In the 1930s, three friends witness a murder, are framed for it, and uncover one of the most outrageous plots in American history.",11786
Barbarian, Zach Cregger,United States,English,"$42,173,631",7.5,A woman staying at an Airbnb discovers that the house she has rented is not what it seems.,20116
Beast, Baltasar Kormákur,United States,English,"$36,168,985",5.6,A father and his two teenage daughters find themselves hunted by a massive rogue lion intent on proving that the Savanna has but one apex predator.,20673
Bob's Burgers: The Movie,Loren Bouchard ,United States,"English , German","$34,148,750",7.0,"The Belchers try to save the restaurant from closing as a sinkhole forms in front of it, while the kids try to solve a mystery that could save their family's restaurant.",16426
Bodies Bodies Bodies,Halina Reijn,United States,English,"$13,625,922",6.3,"When a group of rich 20-somethings plan a hurricane party at a remote family mansion, a party game turns deadly in this fresh and funny look at backstabbing, fake friends, and one party gone very, very wrong.",23925
Brahmastra Part One: Shiva,Ayan Mukerji,India,"Hindi , Tamil","$50,099,422",5.6,"This is the story of Shiva who sets out in search of love and self-discovery. During his journey, he has to face many evil forces that threaten our existence.",95631
Bros,Nicholas Stoller,United States,English,"$11,509,793",6.4,Two men with commitment problems attempt a relationship.,14958
Bullet Train,David Leitch,United States,"English , Spanish","$239,220,735",7.3,Five assassins aboard a swiftly-moving bullet train find out that their missions have something in common.,151035
Crimes of the Future,David Cronenberg,Canada,English,"$4,508,050",5.9,"Humans adapt to a synthetic environment, with new transformations and mutations. With his partner Caprice, Saul Tenser, celebrity performance artist, publicly showcases the metamorphosis of his organs in avant-garde performances.",24290
Death on the Nile,Kenneth Branagh,United States,English,"$137,307,235",6.3,"While on vacation on the Nile, Hercule Poirot must investigate the murder of a young heiress.",142563
Detective Conan: The Bride of Halloween,Gosho Aoyama,United States,English,"$73,783,873",7.1,"During the wedding of Takagi and Sato, an assailant breaks and tries to attack Sato. But Takagi protects her while getting injured. The attacker escapes, but the situation is settled, although Sato is rightfully rattled by it all.",527
Doctor Strange in the Multiverse of Madness,Sam Raimi,United States,English,"$955,152,198",7.0,"Doctor Strange teams up with a mysterious teenage girl from his dreams who can travel across multiverses, to battle multiple threats, including other-universe versions of himself, which threaten to wipe out millions across the multiverse. They seek help from Wanda the Scarlet Witch, Wong and others.",397270
Dog,Reid Carolin,Japan,English,"$84,812,876",6.5,Two former Army Rangers are paired against their will on the road trip of a lifetime. Briggs (Channing Tatum) and Lulu (a Belgian Malinois) race down the Pacific Coast to get to a fellow soldier's funeral on time.,32716
Don't Worry Darling,Olivia Wilde,United States,English,"$83,044,233",6.2,A 1950s housewife living with her husband in a utopian experimental community begins to worry that his glamorous company could be hiding disturbing secrets.,37087
Downton Abbey: A New Era,Simon Curtis,India,"Telugu , English","$91,979,151",7.4,The Crawley family goes on a grand journey to the South of France to uncover the mystery of the dowager countess's newly inherited villa.,19971
Dragon Ball Super: Super Hero,Tetsuro Kodama,India,Kannada,"$86,562,140",7.2,The Red Ribbon Army from Goku's past has returned with two new androids to challenge him and his friends.,8392
Easter Sunday,Jay Chandrasekhar,United States,English,"$13,071,438",5.3,"Set around a family gathering to celebrate Easter Sunday, the comedy is based on Jo Koy's life experiences and stand-up comedy.",1701
Elvis,Baz Luhrmann,Spain,"English , Spanish","$286,040,048",7.4,"The life of American music icon Elvis Presley, from his childhood to becoming a rock and movie star in the 1950s while maintaining a complex relationship with his manager, Colonel Tom Parker.",137545
Everything Everywhere All at Once,Dan Kwan,South Korea,Korean,"$100,840,392",8.1,"An aging Chinese immigrant is swept up in an insane adventure, in which she alone can save the world by exploring other universes connecting with the lives she could have led.",226293
Fall,Scott Mann,United States,English,"$16,282,247",6.4,"Best friends Becky and Hunter find themselves at the top of a 2,000-foot radio tower.",36592
Fantastic Beasts: The Secrets of Dumbledore,David Yates,China,"Mandarin , English","$405,161,334",6.2,Professor Albus Dumbledore must assist Newt Scamander and his partners as Grindelwald begins to lead an army to eliminate all Muggles.,133002
Father Stu,Rosalind Ross,United States,English,"$21,591,034",6.5,"Follows the life of Father Stuart Long, a boxer-turned-priest who inspired countless people during his journey from self-destruction to redemption.",17964
Firestarter,Keith Thomas,United States,English,"$14,889,250",4.6,A young girl tries to understand how she mysteriously gained the power to set things on fire with her mind.,14954
Halloween Ends,David Gordon,United States,English,"$82,956,780",5.0,The saga of Michael Myers and Laurie Strode comes to a spine-chilling climax in the final installment of this trilogy.,36967
Hansan: Rising Dragon,Han-min kim,South Korea,"Korean , Japanese","$54,085,681",6.7,"Follow-up to 2014's The Admiral: Roaring Currents, which explores the historic Battle of Hansan Island.",782
Jackass Forever,Jeff Tremaine,United States,English,"$80,339,260",6.9,"After 11 years, the Jackass crew is back for another crusade.",42959
Jurassic World Dominion,Colin Trevorrow,United States,English,"$990,492,385",5.7,"Four years after the destruction of Isla Nublar, Biosyn operatives attempt to track down Maisie Lockwood, while Dr Ellie Sattler investigates a genetically engineered swarm of giant insects.",144080
K.G.F: Chapter 2,Prashanth Neel,United States,"English , French","$89,123,940",8.4,"In the blood-soaked Kolar Gold Fields, Rocky's name strikes fear into his foes. While his allies look up to him, the government sees him as a threat to law and order. Rocky must battle threats from all sides for unchallenged supremacy.",129044
Lightyear,Angus Mac,United States,"English , Japanese","$226,104,218",6.0,"While spending years attempting to return home, marooned Space Ranger Buzz Lightyear encounters an army of ruthless robots commanded by Zurg who are attempting to steal his fuel source.",98759
"Lyle, Lyle, Crocodile",Josh Gordon,United States,English,"$37,458,231",6.4,Feature film based on the children's book about a crocodile that lives in New York City.,1511
Marry Me,Kat Coiro,Japan,English ,"$50,443,806",6.1,"Music superstars Kat Valdez and Bastian are getting married before a global audience of fans. But when Kat learns, seconds before her vows, that Bastian has been unfaithful, she instead decides to marry Charlie, a stranger in the crowd.",30699
Memory,Martin Campbell,United States,English,"$13,897,255",5.7,An assassin-for-hire finds that he's become a target after he refuses to complete a job for a dangerous criminal organization.,20911
Men,Alex Garland,United States,English,"$11,152,071",6.1,A young woman goes on a solo vacation to the English countryside following the death of her ex-husband.,34898
Minions: The Rise of Gru,Kyle Balda,United States,"English , Spanish","$932,965,705",6.6,The untold story of one twelve-year-old's dream to become the world's greatest supervillain.,58806
Moonfall,Roland Emmerich,United States,"English , Chinese","$59,049,032",5.1,A mysterious force knocks the moon from its orbit and sends it hurtling on a collision course toward earth.,74772
Morbius,Daniel Espinosa,United States,"English , Spanish","$167,460,961",5.2,"Biochemist Michael Morbius tries to cure himself of a rare blood disease, but he inadvertently infects himself with a form of vampirism instead.",114716
Mrs. Harris Goes to Paris,Anthony Fabian,United States,"English , French","$16,139,915",7.1,"A widowed cleaning lady in 1950s London falls madly in love with a couture Dior dress, and decides that she must have one of her own.",7325
Nice View,Muye Wen,China,"Mandarin , Italian","$211,019,042",6.7,"20-year-old Jing Hao came to Shenzhen to live with his young sister alone. The siblings live a warm yet straitened life. In an effort to pay for his sister's expensive surgery, Jing Hao ...                See full summary »",676
Nope,Jordan Peele,United States,"English , Spanish","$170,823,080",6.9,The residents of a lonely gulch in inland California bear witness to an uncanny and chilling discovery.,143235
One Piece Film: Red,Gorô Taniguchi,United States,English,"$126,970,900",7.1,"For the first time ever, Uta - the most beloved singer in the world - will reveal herself to the world at a live concert. The voice that the whole world has been waiting for is about to resound.",3790
Paws of Fury: The Legend of Hank,Chris Bailey,United States,English,"$29,760,737",5.7,"Hank, a loveable dog with a head full of dreams about becoming a samurai, sets off in search of his destiny.",3842
Pearl,Ti West,United States,"English , German","$9,363,718",7.2,Backstory on how Pearl became the person she was.,12133
RRR,S.S Rajamouli,United States,"English , Mandarin","$99,972,991",8.0,A fictitious story about two legendary revolutionaries and their journey away from home before they started fighting for their country in the 1920s.,112736
Scream,Matt Bettinelli,United States,English,"$140,041,405",6.3,"25 years after a streak of brutal murders shocked the quiet town of Woodsboro, Calif., a new killer dons the Ghostface mask and begins targeting a group of teenagers to resurrect secrets from the town's deadly past.",108131
See How They Run,Tom George,United States,English,"$20,608,008",6.7,"In the West End of 1950s London, plans for a movie version of a smash-hit play come to an abrupt halt after a pivotal member of the crew is murdered.",11381
Smile,Parker Finn,United States,English,"$167,767,659",6.9,"After witnessing a bizarre, traumatic incident involving a patient, Dr. Rose Cotter starts experiencing frightening occurrences that she can't explain. Rose must confront her troubling past in order to survive and escape her horrifying new reality.",30139
Sonic the Hedgehog 2,Jeff Fowler,United States,"English , German","$401,872,904",6.5,"When the manic Dr Robotnik returns to Earth with a new ally, Knuckles the Echidna, Sonic and his new friend Tails is all that stands in their way.",63043
Super Pets,Jared Stern,China,Mandarin,"$203,547,630",7.3,"Krypto the Super-Dog and Superman are inseparable best friends, sharing the same superpowers and fighting crime side by side in Metropolis. However, Krypto must master his own powers for a rescue mission when Superman is kidnapped.",58254
Tár,Todd Field,United States,"English , German","$1,269,616",8.2,"Set in the international world of Western classical music, the film centers on Lydia Tár, widely considered one of the greatest living composer-conductors and first-ever female music director of a major German orchestra.",1642
The 355,Simon Kinberg,China,"English , Chinese","$27,824,726",5.5,"When a top-secret weapon falls into mercenary hands, a wild card CIA agent joins forces with three international agents on a lethal mission to retrieve it, while staying a step ahead of a mysterious woman who's tracking their every move.",28843
The Bad Guys,Pierre Perifel,United States,English,"$247,825,440",6.8,"To avoid prison, a gang of notorious animal criminals pretend to seek being rehabilitated, only for their leader to secretly find that he genuinely wants to change his ways.",35427
The Batman,Matt Reeves,United States,"English , Vietnamese","$770,836,163",7.9,"When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement.",612075
The Black Phone,Scott Derrickson,United States,"English , Spanish","$157,214,055",7.0,"After being abducted by a child killer and locked in a soundproof basement, a 13-year-old boy starts receiving calls on a disconnected phone from the killer's previous victims.",123376
The Invitation,Jessica M. Thompson,United States,English,"$33,700,080",5.2,"A young woman is courted and swept off her feet, only to realize a gothic conspiracy is afoot.",11738
The Lost City,Aaron Nee,United States,"English , Spanish","$190,844,029",6.1,A reclusive romance novelist on a book tour with her cover model gets swept up in a kidnapping attempt that lands them both in a cutthroat jungle adventure.,109237
The Northman,Robert Eggers,United States,"English , Norse","$69,633,110",7.1,A young Viking prince is on a quest to avenge his father's murder.,182663
The Roundup,Sang-yong,Japan,Japanese,"$101,146,507",7.1,"Followed by Ma Seok-do, who heads to a foreign country to extradite a suspect. However, he discovers additional murder cases and learns about a killer who had committed crimes against tourists for many years.",4365
The Unbearable Weight of Massive Talent,Tom Gormican,United States,"English , Spanish","$29,116,320",7.0,"In this action-packed comedy, Nicolas Cage plays Nick Cage, channeling his iconic characters as he's caught between a superfan (Pedro Pascal) and a CIA agent (Tiffany Haddish).",77065
The Woman King,Gina Prince,United States,English,"$82,988,862",6.7,"A historical epic inspired by true events that took place in The Kingdom of Dahomey, one of the most powerful states of Africa in the 18th and 19th centuries.",22529
Thor: Love and Thunder,Taika Waititi,United States,"English , Spanish","$760,745,764",6.4,"Thor enlists the help of Valkyrie, Korg and ex-girlfriend Jane Foster to fight Gorr the God Butcher, who intends to make the gods extinct.",293792
Three Thousand Years of Longing,George Miller,"United States , Australia","English , Greek","$18,222,672",6.7,"A lonely scholar, on a trip to Istanbul, discovers a Djinn who offers her three wishes in exchange for his freedom.",26086
Till,Chinonye Chukwu,United States,English,"$693,287",7.6,"In 1955, after Emmett Till is murdered in a brutal lynching, his mother vows to expose the racism behind the attack while working to have those involved brought to justice.",471
Too Cool to Kill,Wenxiong Xing,United States,English,"$217,254,604",6.1,"In order to fully realize his dream of being a comedian, Wei Chenggong (Wei Xiang) accidentally broke into a dangerous scam under the ""persuasion"" of actress Milan (Li Ma). But Wei ...                See full summary »",519
Top Gun: Maverick,Joseph Kosinski,United States,English ,"$1,484,651,712",8.4,"After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it.",409190
Uncharted,Ruben Fleischer,United States,"English , Russian","$401,748,820",6.3,"Street-smart Nathan Drake is recruited by seasoned treasure hunter Victor ""Sully"" Sullivan to recover a fortune amassed by Ferdinand Magellan, and lost 500 years ago by the House of Moncada.",194377
Vengeance, B.J. Novak,United States,English,"$4,265,536",6.8,A writer from New York City attempts to solve the murder of a girl he hooked up with and travels down south to investigate the circumstances of her death and discover what happened to her.,13568
Water Gate Bridge,Hark Tsui,"United States , Australia",English,"$626,571,561",5.4,"Sequel to ""The Battle at Lake Changjin"". Follows the Chinese People's Volunteers (CPV) soldiers on a new task, and now their battlefield is a crucial bridge on the retreat route of American troops.",799
Where the Crawdads Sing,Olivia Newman,United States,"English , French","$136,930,760",7.1,A woman who raised herself in the marshes of the Deep South becomes a suspect in the murder of a man with whom she was once involved.,44777
